stdAguaGr,stdAlcoholGr,stdBebAzucGr,stdJugosNatGr,stdLacteosGr,stdRefrescoGr,stdFrutasGr,stdVerdGr,stdAvesGr,stdCarneRGr,stdPescGr,stdEmbutGr,stdHuevoGr,stdArrozPapaGr,stdTrigoyDerGr,stdMaizGr,stdDulcPastelGr,stdFriturGr,stdLeguminGr,stdOleagGr,stdGrasaSatGr
-.29459465,-.19706641,-.33532277,-.24261153,-.61407316,-.30878314,-.68599975,-.44085857,-.20140205,-.51456779,-.27325797,-.28310627,-.63851064,-.35941872,-.27139136,.88879216,-.50467914,-.16864687,-.81074423,-.25445709,-.10986795
.48586947,8.6856356,2.4044993,-.24261153,-.60511291,-.51060003,-.81282979,-.70116502,-.35602704,2.3855627,-.27325797,-.28310627,-.63851064,-.71929532,.10090107,-.70215368,-.50467914,-.16864687,-.27837804,-.25445709,.53352398
.48586947,-.19706641,-.39244211,-.24261153,-.71562868,.094850548,-.70285285,-.54825991,.12289997,-.51456779,-.27325797,-.28310627,-.63851064,.18039623,-.4442414,.28681275,-.50467914,1.5165509,-.55617642,-.25445709,-.3005026
.68098551,8.6856356,-1.0289642,-.24261153,-.73525673,-.51060003,-.81282979,2.0617077,-.59549052,-.51456779,-.27325797,-.28310627,-.63851064,-.71929532,-.82982999,-.40116388,-.50467914,-.16864687,-.099931687,-.25445709,-.3005026
.68098551,.50086015,-.63656831,-.24261153,-.69600064,-.1069663,-.022866705,.29865447,-.59549052,-.078189686,-.14545438,-.28310627,-.39641577,.5042851,-.51072222,-.75590181,-.11737125,-.16864687,2.184334,-.25445709,.41437736
-.23717481,-.19706641,.14822328,-.24261153,-.29148611,-.51060003,-.1602231,.2274418,-.35602704,-.51456779,-.27325797,-.28310627,-.39641577,-.00530012,-.11183745,1.1317341,.34860849,-.16864687,.7863543,-.25445709,-.3005026
-.67980945,-.19706641,.56514376,-.24261153,-.31282181,-.51060003,.011997296,2.0130839,3.4576004,-.28149801,.23795633,-.28310627,-.63851064,-.21546806,-.64368379,-.22057001,1.2382063,-.16864687,-.87559617,-.25445709,-.3005026
.26287967,-.19706641,-.63768947,-.24261153,-.38195184,-.51060003,-.10240891,-.75663906,-.18977097,-.51456779,.23795633,-.28310627,-.39641577,.36033455,-.82982999,-.91327649,.22152311,-.16864687,-.27837804,-.25445709,-.3005026
.48586947,-.19706641,-.34227145,-.24261153,-.71562868,.094850548,.49884376,-.039422095,.586775,-.26854968,.23795633,1.5534588,-.63851064,-.71929532,-.82982999,.10836887,.45753884,-.16864687,-.66679794,-.25445709,-.3005026
.071247905,-.19706641,.88089985,-.24261153,-.73525673,-.51060003,-.70375597,-.16209076,-.20140205,-.51456779,-.27325797,-.28310627,-.39641577,-.2413792,.30034345,-.11092376,-.50467914,-.16864687,-.65393823,-.25445709,-.3005026
-.12233505,-.19706641,-1.0289642,-.24261153,-.71562868,-.20787473,-.71932918,-.67808932,-.15898278,-.078189686,.34978446,-.28310627,.087773889,.36033455,-.69686842,-.65198553,-.50467914,-.16864687,-.75750762,-.25445709,-.3005026
-.54204363,-.19706641,-.7346673,-.24261153,-.02821511,-.51060003,-.67535859,-.49865001,-.35602704,-.078189686,.58941609,-.28310627,1.1772007,.13865055,.2870473,.099769078,-.50467914,-.16864687,-.65684199,3.0480886,-.3005026
.48586947,-.19706641,.11199655,1.422388,.71553099,.094850548,-.059182666,1.5855315,-.20140205,.55578762,1.2603848,-.28310627,.81405842,1.0685717,-.032060504,1.3725259,.22152311,-.16864687,-.27837804,6.3506341,.27140135
.54328942,-.19706641,1.0311139,-.24261153,-.60714132,.094850548,.88589495,-.30341908,-.18977097,-.28149801,-.27325797,-.28310627,.81405842,2.4116313,-.032060504,2.4636137,.076282673,-.16864687,.38707975,-.25445709,-.3005026
.25061527,-.19706641,-.7216385,-.24261153,1.082497,-.51060003,.072866902,-.21825756,-.59549052,2.2690279,.58941609,-.28310627,-.63851064,-.71929532,-.37776062,-1.0783908,-.50467914,-.16864687,-.87729001,-.25445709,-.3005026
-.23717481,-.19706641,-.24417253,-.24261153,-.61748844,.094850548,-.47374651,-.33631444,-.35602704,-.28149801,-.27325797,-.28310627,.087773889,-.21546806,-.4442414,-.78385091,-.50467914,-.16864687,.7863543,-.25445709,-.3005026
-.29459465,.31051654,-.93086517,-.24261153,-.73525673,-.30878314,-.43233973,-.18927687,-.35602704,-.51456779,-.27325797,-.28310627,-.39641577,-.1794804,-.82982999,.18576618,-.2323533,-.16864687,-.24090502,-.25445709,-.3005026
.19319542,-.19706641,-1.0289642,-.24261153,-.73525673,-.51060003,-.81282979,-.70555252,.19268644,1.2334554,-.27325797,-.28310627,-.39641577,.80298281,-.82982999,.071820073,-.50467914,-.16864687,-.91721749,-.25445709,3.0356038
-.70768321,-.19706641,1.0756263,-.24261153,3.1016543,-.51060003,-.43233973,-.57631767,-.35602704,.042151418,-.27325797,3.3900239,.69301105,-.1794804,-.76334918,-.80750006,-.50467914,-.16864687,.0003882226,-.25445709,-.3005026
-.83952588,-.19706641,.31989643,-.24261153,-.11795415,-.51060003,-.32236278,-.36196458,-.20140205,-.51456779,-.27325797,-.28310627,-.39835256,-.35941872,-.032060504,1.3349022,.25178149,-.16864687,.7863543,-.25445709,-.3005026
-.29459465,-.19706641,-.39132091,-.24261153,-.45993093,-.51060003,.81631833,.088281795,-.59549052,-.51456779,-.27325797,-.28310627,.087773889,.34881842,-.24479903,.42655799,-.50467914,-.16864687,.22494993,-.25445709,-.3005026
-.23717481,-.19706641,.29496303,-.24261153,.29754889,-.30878314,-.20501603,-.37300515,.38973072,-.51456779,-.27325797,.33907703,1.0561533,-.2413792,-.37776062,-.4914608,1.1897929,-.16864687,1.3223158,-.25445709,-.3005026
-1.1012601,-.19706641,.88172311,-.24261153,1.5621085,-.30878314,-.81282979,.69126683,-.35602704,-.093747385,-.27325797,.3290821,-.63851064,-.60125577,.2870473,-.86339819,-.50467914,-.16864687,-.7691229,-.25445709,1.3675506
-1.2701747,-.19706641,.31989643,-.24261153,-.73525673,-.30878314,1.1995975,-.59122527,-.59549052,-.28149801,-.27325797,-.28310627,-.63851064,-.71929532,.8321898,2.4012659,-.11737125,-.16864687,-.81074423,-.25445709,-.3005026
